"AnimalID","Sex","DateofCapture","DateofRecapture","TeethWidth","TeethWidth2","GroupID","GroupSize","QueenID","GroupSizeRecapture","timediff","rateofincisorgrowth","CompleteCapture","CompleteRecapture"
"KR10M030","Male",2018-10-04,2019-03-13,4.695,5.41,"Kuruman 10",16,"KR10F004",20,160,0.00446875,0,0
"KR10M032","Male",2018-10-06,2019-03-13,3.475,4.845,"Kuruman 10",16,"KR10F004",20,158,0.008670886,0,0
"KR10M014","Male",2019-03-14,2019-09-09,6.49,6.44,"Kuruman 10",20,"KR10F004",19,179,-0.00027933,0,1
"KR10M016","Male",2019-03-13,2019-09-09,6.255,6.09,"Kuruman 10",20,"KR10F004",19,180,-0.000916667,0,1
"KR10M026","Male",2019-03-13,2019-09-09,6.085,6.19,"Kuruman 10",20,"KR10F004",19,180,0.000583333,0,1
"KR10M034","Male",2019-03-16,2019-09-09,3.17,4.275,"Kuruman 10",20,"KR10F004",19,177,0.006242938,0,1
"KR10M031","Male",2019-03-12,2019-09-10,4.82,5.385,"Kuruman 10",20,"KR10F004",19,182,0.003104396,0,1
"KR10M030","Male",2019-03-13,2019-09-10,5.41,5.64,"Kuruman 10",20,"KR10F004",19,181,0.001270718,0,1
"KR10M025","Male",2019-03-14,2019-09-10,5.765,5.875,"Kuruman 10",20,"KR10F004",19,180,0.000611111,0,1
"KR10M029","Male",2019-03-12,2019-09-10,5.55,5.5,"Kuruman 10",20,"KR10F004",19,182,-0.000274725,0,1
"KR10M027","Male",2019-03-13,2019-09-10,5.93,5.825,"Kuruman 10",20,"KR10F004",19,181,-0.00058011,0,1
"KR10M035","Male",2019-03-17,2019-09-10,3.08,4.58,"Kuruman 10",20,"KR10F004",19,177,0.008474576,0,1
"KR10M033","Male",2019-03-13,2019-09-10,4.705,5.04,"Kuruman 10",20,"KR10F004",19,181,0.001850829,0,1
"KR10M037","Male",2019-03-14,2019-09-10,4.55,5.26,"Kuruman 10",20,"KR10F004",19,180,0.003944444,0,1
"KR10M032","Male",2019-03-13,2019-09-10,4.845,5.185,"Kuruman 10",20,"KR10F004",19,181,0.001878453,0,1
"KR10F024","Female",2019-03-13,2019-09-10,6.115,5.885,"Kuruman 10",20,"KR10F004",19,181,-0.001270718,0,1
"KR10M003","Male",2019-09-10,2020-03-08,6.13,6.385,"Kuruman 10",19,"KR10F004",16,180,0.001416667,1,1
"KR10M035","Male",2019-09-10,2020-03-09,4.58,5.465,"Kuruman 10",19,"KR10F004",16,181,0.004889503,1,1
"KR10M027","Male",2019-09-10,2020-03-09,5.825,6.15,"Kuruman 10",19,"KR10F004",16,181,0.00179558,1,1
