"AnimalID","GroupID","Location","TrappingPeriod","DateofCapture","GroupSize","Sex","weight","Rainfall","firstcapturedate","censor","Time.days","Time.years","statecode","state"
"KR8F027","Kuruman 8","KRR",13,"20/04/2020",22,"Female",118,135.605622,2018-11-05,NA,532,1.456536619,"ingroupnonbreeder",1
"KR8F027","Kuruman 8","KRR",NA,"27/05/2020",NA,"Female",NA,64.81177172,2018-11-05,99,569,1.557837098,"ingroupnonbreeder",99
"KR8F028","Kuruman 8","KRR",10,"09/11/2018",16,"Female",71,17.16380656,2018-11-05,NA,0,0,"ingroupnonbreeder",1
"KR8F028",NA,"KRR",NA,"09/03/2019",NA,"Female",NA,NA,2018-11-05,NA,124,0.339493498,"Disappeared",2
"KR8F029","Kuruman 8","KRR",10,"09/11/2018",16,"Female",69,17.16380656,2018-11-05,NA,0,0,"ingroupnonbreeder",1
"KR8F029","Kuruman 8","KRR",11,"10/03/2019",15,"Female",95,69.35182863,2018-11-05,NA,125,0.342231348,"ingroupnonbreeder",1
"KR8F029",NA,"KRR",NA,"09/09/2019",NA,"Female",NA,NA,2018-11-05,NA,308,0.843258042,"Disappeared",2
"KR8F030","Kuruman 8","KRR",11,"10/03/2019",15,"Female",41,69.35182863,2019-03-09,NA,0,0,"ingroupnonbreeder",1
"KR8F030","Kuruman 8","KRR",12,"15/10/2019",15,"Female",117,5.217065306,2019-03-09,NA,220,0.602327173,"ingroupnonbreeder",1
"KR8F030","Kuruman 8","KRR",13,"20/04/2020",22,"Female",128,135.605622,2019-03-09,NA,408,1.117043121,"ingroupnonbreeder",1
"KR8F030","Kuruman 8","KRR",NA,"27/05/2020",NA,"Female",NA,64.81177172,2019-03-09,99,445,1.2183436,"ingroupnonbreeder",99
"KR8F031","Kuruman 8","KRR",11,"10/03/2019",15,"Female",46,69.35182863,2019-03-09,NA,0,0,"ingroupnonbreeder",1
"KR8F031","Kuruman 8","KRR",12,"15/10/2019",15,"Female",106,5.217065306,2019-03-09,NA,220,0.602327173,"ingroupnonbreeder",1
"KR8F031","Kuruman 8","KRR",13,"21/04/2020",22,"Female",110,135.605622,2019-03-09,NA,409,1.119780972,"ingroupnonbreeder",1
"KR8F031","Kuruman 8","KRR",NA,"27/05/2020",NA,"Female",NA,64.81177172,2019-03-09,99,445,1.2183436,"ingroupnonbreeder",99
"KR8F033","Kuruman 8","KRR",12,"16/10/2019",15,"Female",77,5.217065306,2019-10-15,NA,0,0,"ingroupnonbreeder",1
"KR8F033","Kuruman 8","KRR",13,"21/04/2020",22,"Female",104,135.605622,2019-10-15,NA,189,0.517453799,"ingroupnonbreeder",1
"KR8F033","Kuruman 8","KRR",NA,"27/05/2020",NA,"Female",NA,64.81177172,2019-10-15,99,225,0.616016427,"ingroupnonbreeder",99
"KR8F036","Kuruman 8","KRR",12,"16/10/2019",15,"Female",48,5.217065306,2019-10-15,NA,0,0,"ingroupnonbreeder",1
"KR8F036","Kuruman 8","KRR",13,"20/04/2020",22,"Female",84,135.605622,2019-10-15,NA,188,0.514715948,"ingroupnonbreeder",1
"KR8F036","Kuruman 8","KRR",NA,"27/05/2020",NA,"Female",NA,64.81177172,2019-10-15,99,225,0.616016427,"ingroupnonbreeder",99
"KR8F038","Kuruman 8","KRR",12,"17/10/2019",15,"Female",48,5.217065306,2019-10-15,NA,0,0,"ingroupnonbreeder",1
"KR8F038","Kuruman 8","KRR",13,"20/04/2020",22,"Female",83,135.605622,2019-10-15,NA,188,0.514715948,"ingroupnonbreeder",1
"KR8F038","Kuruman 8","KRR",NA,"27/05/2020",NA,"Female",NA,64.81177172,2019-10-15,99,225,0.616016427,"ingroupnonbreeder",99
"KR8F039","Kuruman 8","KRR",13,"20/04/2020",22,"Female",60,135.605622,2020-04-20,NA,0,0,"ingroupnonbreeder",1
"KR8F039","Kuruman 8","KRR",NA,"27/05/2020",NA,"Female",NA,64.81177172,2020-04-20,99,37,0.101300479,"ingroupnonbreeder",99
"KR8F040","Kuruman 8","KRR",13,"20/04/2020",22,"Female",60,135.605622,2020-04-20,NA,0,0,"ingroupnonbreeder",1
"KR8F040","Kuruman 8","KRR",NA,"27/05/2020",NA,"Female",NA,64.81177172,2020-04-20,99,37,0.101300479,"ingroupnonbreeder",99
"KR8F041","Kuruman 8","KRR",13,"20/04/2020",22,"Female",52,135.605622,2020-04-20,NA,0,0,"ingroupnonbreeder",1
"KR8F041","Kuruman 8","KRR",NA,"27/05/2020",NA,"Female",NA,64.81177172,2020-04-20,99,37,0.101300479,"ingroupnonbreeder",99
"KR8F042","Kuruman 8","KRR",13,"20/04/2020",22,"Female",24,135.605622,2020-04-20,NA,0,0,"ingroupnonbreeder",1
"KR8F042","Kuruman 8","KRR",NA,"27/05/2020",NA,"Female",NA,64.81177172,2020-04-20,99,37,0.101300479,"ingroupnonbreeder",99
"KR8F043","Kuruman 8","KRR",13,"21/04/2020",22,"Female",25,135.605622,2020-04-20,NA,0,0,"ingroupnonbreeder",1
"KR8F043","Kuruman 8","KRR",NA,"27/05/2020",NA,"Female",NA,64.81177172,2020-04-20,99,37,0.101300479,"ingroupnonbreeder",99
"KR8F045","Kuruman 8","KRR",13,"21/04/2020",22,"Female",23,135.605622,2020-04-20,NA,0,0,"ingroupnonbreeder",1
"KR8F045","Kuruman 8","KRR",NA,"27/05/2020",NA,"Female",NA,64.81177172,2020-04-20,99,37,0.101300479,"ingroupnonbreeder",99
"L10F002","Lonely 10","Lonely",6,"22/09/2016",3,"Female",26,4.678070845,2016-09-22,NA,0,0,"ingroupnonbreeder",1
"L10F002","Lonely 10","Lonely",7,"21/06/2017",8,"Female",71,52.75207139,2016-09-22,NA,272,0.744695414,"ingroupnonbreeder",1
"L10F002","Lonely 10","Lonely",NA,"02/08/2017",NA,NA,NA,1.34743409,2016-09-22,99,314,0.859685147,"ingroupnonbreeder",99
"L10F004","Lonely 10","Lonely",7,"21/06/2017",8,"Female",27,52.75207139,2017-06-21,NA,0,0,"ingroupnonbreeder",1
"L10F004","Lonely 10","Lonely",NA,"02/08/2017",NA,NA,NA,1.34743409,2017-06-21,99,42,0.114989733,"ingroupnonbreeder",99
"L10F005","Lonely 10","Lonely",7,"21/06/2017",8,"Female",66,52.75207139,2017-06-21,NA,0,0,"ingroupnonbreeder",1
"L10F005","Lonely 10","Lonely",NA,"02/08/2017",NA,NA,NA,1.34743409,2017-06-21,99,42,0.114989733,"ingroupnonbreeder",99
"L10F006","Lonely 10","Lonely",7,"22/06/2017",8,"Female",66,52.75207139,2017-06-21,NA,0,0,"ingroupnonbreeder",1
"L10F006","Lonely 10","Lonely",NA,"02/08/2017",NA,NA,NA,1.34743409,2017-06-21,99,42,0.114989733,"ingroupnonbreeder",99
"L10F008","Lonely 10","Lonely",7,"23/06/2017",8,"Female",37,52.75207139,2017-06-21,NA,0,0,"ingroupnonbreeder",1
"L10F008","Lonely 10","Lonely",NA,"02/08/2017",NA,NA,NA,1.34743409,2017-06-21,99,42,0.114989733,"ingroupnonbreeder",99
"L11F030","Lonely 11","Lonely",7,"31/05/2017",6,"Female",40,75.0055436,2017-05-30,NA,0,0,"ingroupnonbreeder",1
"L11F030","Lonely 11","Lonely",NA,"02/08/2017",NA,NA,NA,1.34743409,2017-05-30,99,64,0.17522245,"ingroupnonbreeder",99
"L13F014","Lonely 13","Lonely",2,"02/03/2014",10,"Female",37,263.0608928,2014-03-01,NA,0,0,"ingroupnonbreeder",1
"L13F014","Lonely 13","Lonely",3,"16/09/2014",8,"Female",124,6.702013991,2014-03-01,NA,199,0.544832307,"ingroupnonbreeder",1
"L13F014","Lonely 13","Lonely",4,"26/03/2015",8,"Female",104,108.703723,2014-03-01,NA,390,1.067761807,"ingroupnonbreeder",1
"L13F014",NA,"Lonely",NA,"08/02/2016",8,NA,NA,NA,2014-03-01,NA,709,1.941136208,"Disappeared",2
"L13F017","Lonely 13","Lonely",3,"19/09/2014",8,"Female",15,6.702013991,2014-09-16,NA,0,0,"ingroupnonbreeder",1
"L13F017",NA,"Lonely",NA,"29/01/2015",8,NA,NA,NA,2014-09-16,NA,135,0.369609856,"Disappeared",2
"L13F020","Lonely 13","Lonely",4,"27/03/2015",8,"Female",28,108.703723,2015-03-26,NA,0,0,"ingroupnonbreeder",1
"L13F020","Lonely 13","Lonely",5,"23/02/2016",12,"Female",87,111.7311443,2015-03-26,NA,334,0.914442163,"ingroupnonbreeder",1
"L13F020","Lonely 19","Lonely",6,"06/10/2016",1,"Female",102,7.862713041,2015-03-26,NA,560,1.533196441,"Disappeared",2
"L13F021","Lonely 13","Lonely",4,"27/03/2015",8,"Female",33,108.703723,2015-03-26,NA,0,0,"ingroupnonbreeder",1
"L13F021","Lonely 13","Lonely",5,"23/02/2016",12,"Female",100,111.7311443,2015-03-26,NA,334,0.914442163,"ingroupnonbreeder",1
"L13F021",NA,"Lonely",NA,"09/09/2016",12,NA,NA,NA,2015-03-26,NA,533,1.45927447,"Disappeared",2
"L13F025","Lonely 13","Lonely",5,"22/02/2016",12,"Female",74,111.7311443,2016-02-22,NA,0,0,"ingroupnonbreeder",1
"L13F025",NA,"Lonely",NA,"09/09/2016",12,NA,NA,NA,2016-02-22,NA,200,0.547570157,"Disappeared",2
"L13F029","Lonely 13","Lonely",5,"24/02/2016",12,"Female",38,111.7311443,2016-02-22,NA,0,0,"ingroupnonbreeder",1
"L13F029","Lonely 13","Lonely",6,"10/09/2016",8,"Female",114,4.678070845,2016-02-22,NA,201,0.550308008,"ingroupnonbreeder",1
"L13F029","Lonely 13","Lonely",7,"05/06/2017",10,"Female",124,52.75207139,2016-02-22,NA,469,1.284052019,"ingroupnonbreeder",1
"L13F029","Lonely 13","Lonely",NA,"02/08/2017",NA,NA,NA,1.34743409,2016-02-22,99,527,1.442847365,"ingroupnonbreeder",99
"L13F030","Lonely 13","Lonely",6,"10/09/2016",8,"Female",55,4.678070845,2016-09-10,NA,0,0,"ingroupnonbreeder",1
"L13F030","Lonely 13","Lonely",7,"06/06/2017",10,"Female",89,52.75207139,2016-09-10,NA,269,0.736481862,"ingroupnonbreeder",1
"L13F030","Lonely 13","Lonely",NA,"02/08/2017",NA,NA,NA,1.34743409,2016-09-10,99,326,0.892539357,"ingroupnonbreeder",99
"L13F032","Lonely 13","Lonely",6,"10/09/2016",8,"Female",59,4.678070845,2016-09-10,NA,0,0,"ingroupnonbreeder",1
"L13F032","Lonely 13","Lonely",7,"06/06/2017",10,"Female",109,52.75207139,2016-09-10,NA,269,0.736481862,"ingroupnonbreeder",1
"L13F032","Lonely 13","Lonely",NA,"02/08/2017",NA,NA,NA,1.34743409,2016-09-10,99,326,0.892539357,"ingroupnonbreeder",99
"L13F033","Lonely 13","Lonely",6,"10/09/2016",8,"Female",65,4.678070845,2016-09-10,NA,0,0,"ingroupnonbreeder",1
"L13F033","Lonely 13","Lonely",7,"05/06/2017",10,"Female",88,52.75207139,2016-09-10,NA,268,0.733744011,"ingroupnonbreeder",1
"L13F033","Lonely 13","Lonely",NA,"02/08/2017",NA,NA,NA,1.34743409,2016-09-10,99,326,0.892539357,"ingroupnonbreeder",99
"L13F035","Lonely 13","Lonely",7,"06/06/2017",10,"Female",72,52.75207139,2017-06-05,NA,0,0,"ingroupnonbreeder",1
"L13F035","Lonely 13","Lonely",NA,"02/08/2017",NA,NA,NA,1.34743409,2017-06-05,99,58,0.158795346,"ingroupnonbreeder",99
"L14F009","Lonely 14","Lonely",2,"03/03/2014",13,"Female",46,263.0608928,2014-03-01,NA,0,0,"ingroupnonbreeder",1
"L14F009","Lonely 14","Lonely",3,"16/09/2014",8,"Female",94,6.702013991,2014-03-01,NA,199,0.544832307,"ingroupnonbreeder",1
"L14F009","Lonely 14","Lonely",4,"29/01/2015",8,"Female",105,72.65603459,2014-03-01,NA,334,0.914442163,"ingroupnonbreeder",1
"L14F009",NA,"Lonely",NA,"08/02/2016",8,NA,NA,NA,2014-03-01,NA,709,1.941136208,"Disappeared",2
"L14F016","Lonely 14","Lonely",4,"30/01/2015",8,"Female",27,72.65603459,2015-01-29,NA,0,0,"ingroupnonbreeder",1
"L14F016","Lonely 14","Lonely",5,"10/02/2016",12,"Female",90,111.7311443,2015-01-29,NA,377,1.032169747,"ingroupnonbreeder",1
"L14F016",NA,"Lonely",NA,"09/09/2016",12,NA,NA,NA,2015-01-29,NA,589,1.612594114,"Disappeared",2
"L14F017","Lonely 14","Lonely",4,"30/01/2015",8,"Female",29,72.65603459,2015-01-29,NA,0,0,"ingroupnonbreeder",1
"L14F017","Lonely 14","Lonely",5,"11/02/2016",12,"Female",NA,111.7311443,2015-01-29,NA,378,1.034907598,"ingroupnonbreeder",1
"L14F017",NA,"Lonely",NA,"09/09/2016",12,NA,NA,NA,2015-01-29,NA,589,1.612594114,"Disappeared",2
"L14F018","Lonely 14","Lonely",4,"30/01/2015",8,"Female",60,72.65603459,2015-01-29,NA,0,0,"ingroupnonbreeder",1
"L14F018","Lonely 14","Lonely",5,"09/02/2016",12,"Female",107,111.7311443,2015-01-29,NA,376,1.029431896,"ingroupnonbreeder",1
"L14F018",NA,"Lonely",NA,"09/09/2016",12,NA,NA,NA,2015-01-29,NA,589,1.612594114,"Disappeared",2
"L14F019","Lonely 14","Lonely",4,"31/01/2015",8,"Female",26,72.65603459,2015-01-29,NA,0,0,"ingroupnonbreeder",1
"L14F019",NA,"Lonely",NA,"08/02/2016",8,NA,NA,NA,2015-01-29,NA,375,1.026694045,"Disappeared",2
"L14F021","Lonely 14","Lonely",5,"08/02/2016",12,"Female",53,111.7311443,2016-02-08,NA,0,0,"ingroupnonbreeder",1
"L14F021",NA,"Lonely",NA,"09/09/2016",12,NA,NA,NA,2016-02-08,NA,214,0.585900068,"Disappeared",2
"L14F023","Lonely 14","Lonely",5,"09/02/2016",12,"Female",60,111.7311443,2016-02-08,NA,0,0,"ingroupnonbreeder",1
"L14F023","Lonely 14","Lonely",6,"09/09/2016",9,"Female",92,4.678070845,2016-02-08,NA,214,0.585900068,"ingroupnonbreeder",1
"L14F023","Lonely 14","Lonely",7,"30/05/2017",13,"Female",90,75.0055436,2016-02-08,NA,477,1.305954825,"ingroupnonbreeder",1
"L14F023","Lonely 14","Lonely",NA,"02/08/2017",NA,NA,NA,1.34743409,2016-02-08,99,541,1.481177276,"ingroupnonbreeder",99
"L14F025","Lonely 14","Lonely",5,"11/02/2016",12,"Female",68,111.7311443,2016-02-08,NA,0,0,"ingroupnonbreeder",1
"L14F025","Lonely 14","Lonely",6,"09/09/2016",9,"Female",101,4.678070845,2016-02-08,NA,214,0.585900068,"ingroupnonbreeder",1
"L14F025","Lonely 14","Lonely",7,"30/05/2017",13,"Female",105,75.0055436,2016-02-08,NA,477,1.305954825,"ingroupnonbreeder",1
"L14F025","Lonely 14","Lonely",NA,"02/08/2017",NA,NA,NA,1.34743409,2016-02-08,99,541,1.481177276,"ingroupnonbreeder",99
