"AnimalID","GroupID","Location","TrappingPeriod","DateofCapture","CaptureStart","GroupSize","Sex","weight","firstcapturedate","Time.days","Time.years","statecode","TeethWidth","BodyLength","weight.ln","teethwidth.ln"
"KR11M012","Kuruman 11","KRR",12,2019-09-25,"23/09/2019",20,"Female",90,"18/03/2018",556,1.522245038,"femalenonbreeder",5.415,16.15,4.49980967033027,1.68917288045295
"KR11M012","Kuruman 11","KRR",13,2020-03-30,"30/03/2020",17,"Female",90,"18/03/2018",743,2.034223135,"femalenonbreeder",5.32,15.7,4.49980967033027,1.67147330335355
"KR13F002","Kuruman 13","KRR",1,2014-01-22,"22/01/2014",26,"Female",99,"22/01/2014",0,0,"femalenonbreeder",5.525,17.6,4.59511985013459,1.70928324740382
"KR13F002","Kuruman 13","KRR",2,2014-08-06,"05/08/2014",21,"Female",103,"22/01/2014",196,0.536618754,"femalenonbreeder",5.665,18.2,4.63472898822964,1.73430689447997
"KR13F002","Kuruman 13","KRR",3,2015-02-10,"10/02/2015",23,"Female",113,"22/01/2014",384,1.051334702,"femalenonbreeder",5.66,18.6,4.72738781871234,1.73342389221509
"KR13F002","Kuruman 16","KRR",5,2016-05-30,"30/05/2016",1,"Female",139,"22/01/2014",859,2.351813826,"single",6.035,19.05,4.93447393313069,1.79757585454949
"KR13F006","Kuruman 13","KRR",1,2014-01-23,"22/01/2014",26,"Female",108,"23/01/2014",0,0,"femalenonbreeder",6.075,17.15,4.68213122712422,1.80418198922661
"KR13F006","Kuruman 13","KRR",2,2014-08-06,"05/08/2014",21,"Female",105,"23/01/2014",195,0.533880903,"femalenonbreeder",6.12,17.1,4.65396035015752,1.81156209652423
"KR13F006","Kuruman 13","KRR",4,2015-09-20,"20/09/2015",22,"Female",138,"23/01/2014",605,1.656399726,"femalenonbreeder",6.575,18.6,4.92725368515721,1.88327457806383
"KR13F006","Kuruman 27","KRR",5,2016-04-13,"12/04/2016",1,"Female",128,"23/01/2014",811,2.220396988,"single",6.525,18.3,4.85203026391962,1.87564095320876
"KR13F007","Kuruman 13","KRR",1,2014-01-23,"22/01/2014",26,"Female",120,"23/01/2014",0,0,"femalenonbreeder",5.85,17.95,4.78749174278205,1.76644166124377
"KR13F016","Kuruman 13","KRR",2,2014-08-06,"05/08/2014",21,"Female",118,"24/01/2014",194,0.531143053,"femalenonbreeder",5.43,17.4,4.77068462446567,1.69193913394584
"KR13F016","Kuruman 23","KRR",4,2015-09-27,"27/09/2015",1,"Female",144,"24/01/2014",611,1.672826831,"single",5.745,18.6,4.969813299576,1.74832991130072
"KR13F016","Kuruman 23","KRR",5,2016-04-17,"17/04/2016",1,"Female",153,"24/01/2014",814,2.228610541,"single",6.035,18.45,5.03043792139244,1.79757585454949
"KR13F016","Kuruman 23","KRR",7,2017-01-17,"17/01/2017",1,"Female",156,"24/01/2014",1089,2.981519507,"single",6.035,19,5.04985600724954,1.79757585454949
"KR13F016","Kuruman 23","KRR",8,2017-08-02,"02/08/2017",1,"Female",152,"24/01/2014",1286,3.520876112,"single",5.965,19.65,5.02388052084628,1.78590905554988
"KR13F016","Kuruman 23","KRR",10,2018-09-24,"24/09/2018",1,"Female",156,"24/01/2014",1704,4.665297741,"single",5.975,19.45,5.04985600724954,1.78758409781757
"KR13F017","Kuruman 13","KRR",1,2014-01-24,"22/01/2014",26,"Female",111,"24/01/2014",0,0,"femalenonbreeder",5.725,17.6,4.70953020131233,1.7448425494403
"KR13F017","Kuruman 19","KRR",3,2015-03-30,"30/03/2015",1,"Female",125,"24/01/2014",430,1.177275838,"single",6.04,18.2,4.8283137373023,1.79840401194672
"KR13F017","Kuruman 19","KRR",4,2015-09-27,"27/09/2015",1,"Female",117,"24/01/2014",611,1.672826831,"single",5.79,17.95,4.76217393479776,1.7561322915849
"KR13F017","Kuruman 19","KRR",5,2016-03-17,"17/03/2016",1,"Female",127,"24/01/2014",783,2.143737166,"single",6.21,18.55,4.84418708645859,1.82616089594539
"KR13F018","Kuruman 13","KRR",1,2014-01-24,"22/01/2014",26,"Female",139,"24/01/2014",0,0,"femalenonbreeder",5.825,18.8,4.93447393313069,1.76215899945176
"KR13F019","Kuruman 13","KRR",2,2014-08-06,"05/08/2014",21,"Female",117,"25/01/2014",193,0.528405202,"femalenonbreeder",5.72,17.55,4.76217393479776,1.74396880539171
"KR13F019","Kuruman 13","KRR",3,2015-02-10,"10/02/2015",23,"Female",129,"25/01/2014",381,1.04312115,"femalenonbreeder",6.09,18.65,4.85981240436167,1.80664808172181
"KR13F019","Kuruman 13","KRR",4,2015-09-22,"20/09/2015",22,"Female",147,"25/01/2014",605,1.656399726,"femalenonbreeder",6.395,19.45,4.99043258677874,1.85551643503081
"KR13F020","Kuruman 13","KRR",3,2015-02-10,"10/02/2015",23,"Female",108,"25/01/2014",381,1.04312115,"femalenonbreeder",5.62,17.7,4.68213122712422,1.7263316639056
"KR13F021","Kuruman 13","KRR",2,2014-08-06,"05/08/2014",21,"Female",90,"26/01/2014",192,0.525667351,"femalenonbreeder",5.33,15.95,4.49980967033027,1.67335123817775
"KR13F021","Kuruman 30","KRR",6,2016-07-26,"26/07/2016",1,"Female",132,"26/01/2014",912,2.496919918,"single",5.805,17.95,4.88280192258637,1.75871961514985
"KR13F025","Kuruman 13","KRR",3,2015-02-11,"10/02/2015",23,"Female",88,"27/01/2014",380,1.040383299,"femalenonbreeder",5.48,16.6,4.47733681447821,1.70110510095992
"KR13F025","Kuruman 13","KRR",4,2015-09-20,"20/09/2015",22,"Female",112,"27/01/2014",601,1.645448323,"femalenonbreeder",5.74,17.5,4.71849887129509,1.74745921033147
"KR13F025","Kuruman 13","KRR",5,2016-04-12,"12/04/2016",24,"Female",111,"27/01/2014",806,2.206707734,"femalenonbreeder",5.99,17.5,4.70953020131233,1.79009141212736
"KR13F025","Kuruman 26","KRR",5,2016-05-30,"30/05/2016",1,"Female",116,"27/01/2014",854,2.338124572,"single",5.985,17.9,4.75359019110636,1.78925633900994
"KR13F028","Kuruman 13","KRR",4,2015-09-23,"20/09/2015",22,"Female",100,"08/08/2014",411,1.125256674,"femalenonbreeder",5.625,17.05,4.60517018598809,1.72722094809048
"KR13F034","Kuruman 13","KRR",5,2016-04-13,"12/04/2016",24,"Female",108,"12/02/2015",426,1.166324435,"femalenonbreeder",5.66,17.45,4.68213122712422,1.73342389221509
"KR13F035","Kuruman 13","KRR",5,2016-04-14,"12/04/2016",24,"Female",91,"12/02/2015",427,1.169062286,"femalenonbreeder",5.39,16.95,4.51085950651685,1.68454538492091
"KR13F037","Kuruman 15","KRR",6,2016-09-06,"05/09/2016",1,"Female",93,"13/02/2015",571,1.563312799,"single",5.365,16.4,4.53259949315326,1.67989637608266
"KR13F037","Kuruman 15","KRR",7,2017-03-08,"07/03/2017",1,"Female",109,"13/02/2015",754,2.064339493,"single",5.515,16.6,4.69134788222914,1.70747165270547
"KR13F037","Kuruman 15","KRR",8,2017-09-13,"12/09/2017",1,"Female",107,"13/02/2015",943,2.581793292,"single",5.505,17.3,4.67282883446191,1.70565677017464
"KR13F038","Kuruman 13","KRR",8,2017-08-15,"14/08/2017",2,"Female",156,"21/09/2015",694,1.900068446,"femalenonbreeder",6.42,19.8,5.04985600724954,1.85941811770187
