"AnimalID","GroupID","Location","TrappingPeriod","DateofCapture","CaptureStart","GroupSize","Sex","weight","firstcapturedate","Time.days","Time.years","statecode","BodyLength"
"KR20F015","Kuruman 20","KRR",13,2020-04-07,"06/04/2020",19,"Female",105,"26/03/2019",378,1.034907598,"femalenonbreeder",16.5
"KR20F018","Kuruman 20","KRR",13,2020-04-06,"06/04/2020",19,"Female",105,"28/03/2019",375,1.026694045,"femalenonbreeder",16.3
"KR21F001","Kuruman 21","KRR",3,2015-02-27,"27/02/2015",1,"Female",104,"27/02/2015",0,0,"single",17.4
"KR21F001","Kuruman 21","KRR",4,2015-10-11,"11/10/2015",1,"Female",109,"27/02/2015",226,0.618754278,"single",17.5
"KR21F001","Kuruman 21","KRR",5,2016-04-17,"17/04/2016",1,"Female",108,"27/02/2015",415,1.136208077,"single",17.1
"KR21F001","Kuruman 21","KRR",7,2017-01-16,"16/01/2017",1,"Female",115,"27/02/2015",689,1.886379192,"single",17.5
"KR21F001","Kuruman 21","KRR",8,2017-07-31,"31/07/2017",1,"Female",113,"27/02/2015",885,2.422997947,"single",17.95
"KR21F001","Kuruman 21","KRR",9,2018-04-25,"25/04/2018",1,"Female",113,"27/02/2015",1153,3.156741958,"single",17.4
"KR21F001","Kuruman 21","KRR",10,2018-10-01,"30/09/2018",1,"Female",106,"27/02/2015",1312,3.592060233,"single",17.45
"KR21F001","Kuruman 21","KRR",11,2019-03-21,"21/03/2019",1,"Female",102,"27/02/2015",1483,4.060232717,"single",17.5
"KR21F001","Kuruman 21","KRR",13,2020-03-06,"05/03/2020",1,"Female",108,"27/02/2015",1834,5.021218344,"single",17.1
"KR24F002","Kuruman 24","KRR",9,2018-03-25,"24/03/2018",4,"Female",103,"25/03/2018",0,0,"femalenonbreeder",17.05
"KR24F002","Kuruman 24","KRR",12,2019-09-23,"23/09/2019",3,"Female",105,"25/03/2018",547,1.497604381,"femalenonbreeder",17.8
"KR24F002","Kuruman 24","KRR",13,2020-03-30,"30/03/2020",3,"Female",123,"25/03/2018",736,2.015058179,"femalenonbreeder",18.05
"KR26F002","Kuruman 26","KRR",8,2017-08-08,"07/08/2017",9,"Female",80,"30/01/2017",190,0.52019165,"femalenonbreeder",16.4
"KR26F011","Kuruman 26","KRR",12,2019-10-17,"17/10/2019",13,"Female",108,"30/03/2018",566,1.549623546,"femalenonbreeder",17.35
"KR26F011","Kuruman 26","KRR",13,2020-05-04,"04/05/2020",11,"Female",116,"30/03/2018",766,2.097193703,"femalenonbreeder",17.35
"KR26F013","Kuruman 26","KRR",12,2019-10-17,"17/10/2019",13,"Female",118,"31/03/2018",565,1.546885695,"femalenonbreeder",18.45
"KR26F013","Kuruman 26","KRR",13,2020-05-04,"04/05/2020",11,"Female",135,"31/03/2018",765,2.094455852,"femalenonbreeder",18.6
"KR27F002","Kuruman 27","KRR",8,2017-08-08,"07/08/2017",12,"Female",107,"05/02/2017",184,0.503764545,"femalenonbreeder",17
"KR27F002","Kuruman 27","KRR",13,2020-05-06,"05/05/2020",8,"Female",150,"05/02/2017",1186,3.247091034,"femalenonbreeder",18.65
"KR27F003","Kuruman 27","KRR",8,2017-08-10,"07/08/2017",12,"Female",97,"06/02/2017",185,0.506502396,"femalenonbreeder",16.75
"KR27F008","Kuruman 27","KRR",8,2017-08-08,"07/08/2017",12,"Female",92,"06/02/2017",183,0.501026694,"femalenonbreeder",16.5
"KR27F012","Kuruman 27","KRR",12,2019-09-16,"16/09/2019",6,"Female",111,"07/04/2018",527,1.442847365,"femalenonbreeder",17.45
"KR27F013","Kuruman 27","KRR",12,2019-09-17,"16/09/2019",6,"Female",107,"06/04/2018",529,1.448323066,"femalenonbreeder",16.95
"KR27F013","Kuruman 27","KRR",13,2020-05-06,"05/05/2020",8,"Female",92,"06/04/2018",761,2.083504449,"femalenonbreeder",16.7
"KR27F021","Kuruman 27","KRR",13,2020-05-06,"05/05/2020",8,"Female",93,"06/05/2020",0,0,"femalenonbreeder",16.15
"KR28F003","Kuruman 28","KRR",9,2018-04-22,"20/04/2018",8,"Female",99,"21/10/2017",183,0.501026694,"femalenonbreeder",16.1
"KR28F003","Kuruman 28","KRR",10,2018-09-18,"15/09/2018",9,"Female",111,"21/10/2017",332,0.908966461,"femalenonbreeder",17.55
"KR28F003","Kuruman 28","KRR",11,2019-03-20,"19/03/2019",11,"Female",119,"21/10/2017",515,1.409993155,"femalenonbreeder",17.85
"KR28F006","Kuruman 28","KRR",13,2020-03-17,"16/03/2020",13,"Female",128,"22/04/2018",695,1.902806297,"femalenonbreeder",18.45
"KR28F009","Kuruman 28","KRR",13,2020-03-17,"16/03/2020",13,"Female",134,"16/09/2018",548,1.500342231,"femalenonbreeder",18.2
"KR2F001","Kuruman 2","KRR",1,2014-01-31,"29/01/2014",1,"Female",169,"31/01/2014",0,0,"single",19.15
"KR2F001","Kuruman 2","KRR",2,2014-07-27,"27/07/2014",1,"Female",151,"31/01/2014",177,0.484599589,"single",19.05
"KR2F001","Kuruman 2","KRR",3,2015-02-17,"16/02/2015",1,"Female",158,"31/01/2014",382,1.045859001,"single",19.1
"KR2F001","Kuruman 2","KRR",4,2015-10-15,"15/10/2015",1,"Female",169,"31/01/2014",622,1.70294319,"single",19.1
"KR31F001","Kuruman 31","KRR",5,2016-05-05,"04/05/2016",1,"Female",94,"05/05/2016",0,0,"single",16.6
"KR31F004","Kuruman 48","KRR",12,2019-10-23,"22/10/2019",1,"Female",144,"19/10/2017",734,2.009582478,"single",18.6
"KR31F004","Kuruman 48","KRR",13,2020-03-27,"26/03/2020",1,"Female",146,"19/10/2017",890,2.436687201,"single",19.1
"KR31F008","Kuruman 31","KRR",13,2020-04-20,"20/04/2020",17,"Female",88,"24/11/2019",148,0.405201916,"femalenonbreeder",16.75
"KR31F009","Kuruman 31","KRR",12,2019-11-24,"23/11/2019",13,"Female",102,"24/11/2019",0,0,"femalenonbreeder",17.55
"KR31F009","Kuruman 31","KRR",13,2020-04-21,"20/04/2020",17,"Female",120,"24/11/2019",149,0.407939767,"femalenonbreeder",17.7
"KR31F011","Kuruman 31","KRR",12,2019-11-24,"23/11/2019",13,"Female",105,"24/11/2019",0,0,"femalenonbreeder",17.4
"KR31F011","Kuruman 31","KRR",13,2020-04-21,"20/04/2020",17,"Female",119,"24/11/2019",149,0.407939767,"femalenonbreeder",17.55
"KR31F012","Kuruman 31","KRR",12,2019-11-25,"23/11/2019",13,"Female",124,"25/11/2019",0,0,"femalenonbreeder",18.15
"KR31F012","Kuruman 31","KRR",13,2020-04-20,"20/04/2020",17,"Female",117,"25/11/2019",147,0.402464066,"femalenonbreeder",17.65
"KR31F016","Kuruman 31","KRR",12,2019-11-25,"23/11/2019",13,"Female",139,"25/11/2019",0,0,"femalenonbreeder",18.8
