"AnimalID","GroupID","Location","TrappingPeriod","DateofCapture","CaptureStart","CaptureEnd","GroupSize","Sex","weight","Rainfall","firstcapturedate","censor","Time.days","Time.years","statecode","state","id"
"L18F003","Lonely 18","Lonely",2,"13/03/2014",2014-03-11,"18/03/2014",14,"Female",73,189.4909852,2014-03-11,NA,0,0,"ingroupnonbreeder","1","15"
"L18F003",NA,"Lonely",NA,"16/09/2014",2014-09-16,NA,14,NA,NA,NA,2014-03-11,NA,189,0.517453799,"Disappeared","2","15"
"L18F007","Lonely 18","Lonely",2,"14/03/2014",2014-03-11,"18/03/2014",14,"Female",73,189.4909852,2014-03-11,NA,0,0,"ingroupnonbreeder","1","16"
"L18F007","Lonely 18","Lonely",3,"30/09/2014",2014-09-30,"02/10/2014",9,"Female",83,5.448128916,2014-03-11,NA,203,0.55578371,"ingroupnonbreeder","1","16"
"L18F007","Lonely 18","Lonely",5,"01/03/2016",2016-02-29,"04/03/2016",5,"Female",109,111.7311443,2014-03-11,NA,721,1.973990418,"ingroupnonbreeder","1","16"
"L18F007",NA,"Lonely",NA,"09/09/2016",2016-09-09,NA,5,NA,NA,NA,2014-03-11,NA,913,2.499657769,"Disappeared","2","16"
"L18F008","Lonely 18","Lonely",2,"14/03/2014",2014-03-11,"18/03/2014",14,"Female",65,189.4909852,2014-03-11,NA,0,0,"ingroupnonbreeder","1","17"
"L18F008","Lonely 18","Lonely",3,"01/10/2014",2014-09-30,"02/10/2014",9,"Female",83,5.448128916,2014-03-11,NA,204,0.558521561,"ingroupnonbreeder","1","17"
"L18F008","Lonely 18","Lonely",5,"04/03/2016",2016-02-29,"04/03/2016",5,"Female",97,111.7311443,2014-03-11,NA,724,1.98220397,"ingroupnonbreeder","1","17"
"L18F008","Lonely 18","Lonely",6,"16/09/2016",2016-09-16,"18/09/2016",3,"Female",103,4.678070845,2014-03-11,NA,920,2.518822724,"ingroupnonbreeder","1","17"
"L18F008","Lonely 18","Lonely",7,"27/06/2017",2017-06-27,"29/06/2017",7,"Female",101,52.75207139,2014-03-11,NA,1204,3.296372348,"ingroupnonbreeder","1","17"
"L18F008","Lonely 18","Lonely",NA,"02/08/2017",2017-08-02,NA,NA,NA,NA,1.34743409,2014-03-11,99,1240,3.394934976,"ingroupnonbreeder","99","17"
"L18F009","Lonely 18","Lonely",2,"15/03/2014",2014-03-11,"18/03/2014",14,"Female",78,189.4909852,2014-03-11,NA,0,0,"ingroupnonbreeder","1","18"
"L18F009","Lonely 18","Lonely",3,"01/10/2014",2014-09-30,"02/10/2014",9,"Female",85,5.448128916,2014-03-11,NA,204,0.558521561,"ingroupnonbreeder","1","18"
"L18F009",NA,"Lonely",NA,"29/01/2015",2015-01-29,NA,9,NA,NA,NA,2014-03-11,NA,324,0.887063655,"Disappeared","2","18"
"L18F011","Lonely 18","Lonely",2,"16/03/2014",2014-03-11,"18/03/2014",14,"Female",59,189.4909852,2014-03-11,NA,0,0,"ingroupnonbreeder","1","19"
"L18F011",NA,"Lonely",NA,"16/09/2014",2014-09-16,NA,14,NA,NA,NA,2014-03-11,NA,189,0.517453799,"Disappeared","2","19"
"L46F005","Lonely 46","Lonely",2,"02/04/2014",2014-03-31,"03/04/2014",7,"Female",53,189.4909852,2014-03-31,NA,0,0,"ingroupnonbreeder","1","20"
"L46F005",NA,"Lonely",NA,"16/09/2014",2014-09-16,NA,7,NA,NA,NA,2014-03-31,NA,169,0.462696783,"Disappeared","2","20"
"KR10F005","Kuruman 10","KRR",2,"28/07/2014",2014-07-27,"28/07/2014",5,"Female",28,15.72555258,2014-07-27,NA,0,0,"ingroupnonbreeder","1","21"
"KR10F005","Kuruman 10","KRR",3,"16/02/2015",2015-02-16,"18/02/2015",5,"Female",70,60.89109671,2014-07-27,NA,204,0.558521561,"ingroupnonbreeder","1","21"
"KR10F005","Kuruman 10","KRR",4,"08/10/2015",2015-10-07,"09/10/2015",5,"Female",111,7.452079085,2014-07-27,NA,438,1.199178645,"ingroupnonbreeder","1","21"
"KR10F005","Kuruman 10","KRR",5,"26/04/2016",2016-04-25,"27/04/2016",10,"Female",113,116.8075972,2014-07-27,NA,639,1.749486653,"ingroupnonbreeder","1","21"
"KR10F005",NA,"KRR",NA,"25/07/2016",2016-07-25,NA,NA,"Female",NA,NA,2014-07-27,NA,729,1.995893224,"Disappeared","2","21"
"KR1F018","Kuruman 1","KRR",2,"27/07/2014",2014-07-27,"30/07/2014",10,"Female",37,15.72555258,2014-07-27,NA,0,0,"ingroupnonbreeder","1","22"
"KR1F018","Kuruman 1","KRR",3,"16/02/2015",2015-02-16,"18/02/2015",10,"Female",86,60.89109671,2014-07-27,NA,204,0.558521561,"ingroupnonbreeder","1","22"
