GroupID,GroupCaptureStartDate,FirstCaptureOfGroup,DaysSinceFirstGroupCap,TimeToNextCap,QueenWeight,GroupSizeAtFirstCapture,CapRecapNumber,NewRecruits,WithinGroupRecruits,AdultNewRecruits,withingrouprecruitmentrate.6mo,withingrouprecruitmentrate.6mo.adults,Rainfall1,Rainfall2,Rainfall3,Rainfall4,Rainfall5,Rainfall6,GroupSizeRecap,GroupSizeRecapWoutRecruits,AvgGroupSize,AvgGroupSizeWoutRecruits,QueenID,KingID,CompleteCapture,QueenPresent,KingPresent,BothBreedersPresent,Location
Kuruman 34,02/05/2017,02/05/2017,0,160,NA,2,1,2,2,0,2.25,0,310.194277,7.870963958,25.84952309,17.34148548,1.114485477,3.468297097,4,2,3,2,KR13F043,KR10M013,1,1,1,1,Kuruman
Kuruman 34,09/09/2019,02/05/2017,860,204,120,8,4,0,0,0,0,0,131.7196995,2.979689968,10.97664162,230.7623061,24.3572693,38.46038435,8,8,8,8,KR13F043,KR10M013,1,1,1,1,Kuruman
Kuruman 35,04/04/2019,02/05/2017,702,185,116,5,5,2,2,NA,1.945945946,NA,133.9454312,4.994350273,11.16211926,9.6186538,0.507377389,1.603108967,7,5,6,5,KR13F040,KR36M007,1,1,1,1,Kuruman
Kuruman 35,06/10/2019,02/05/2017,887,190,122,7,6,3,3,NA,2.842105263,NA,127.1988109,2.822682598,10.59990091,242.6679588,29.88121627,40.4446598,9,6,8,6.5,KR13F040,KR36M007,1,1,1,1,Kuruman
Kuruman 36,08/05/2017,08/05/2017,0,154,135,14,1,1,1,0,1.168831169,0,310.194277,7.870963958,25.84952309,17.34148548,1.114485477,3.468297097,14,13,14,13.5,KR1F004,KR13M005,1,1,1,1,Kuruman
Kuruman 39,05/04/2018,05/04/2018,0,348,152,3,1,2,2,2,1.034482759,1.034482759,259.6576486,6.209698373,21.63813739,98.49627679,4.179302693,8.954206981,5,3,4,3,KR13F019,KR36M001,1,1,1,1,Kuruman
Kuruman 39,19/03/2019,05/04/2018,348,181,155,5,3,2,2,NA,1.988950276,NA,179.9059552,5.352641757,14.99216294,40.12550829,0.704602057,6.687584715,NA,NA,NA,NA,KR13F019,KR36M001,1,1,1,1,Kuruman
Kuruman 39,16/09/2019,05/04/2018,529,182,152,6,4,1,1,NA,0.989010989,NA,131.7196995,2.979689968,10.97664162,230.7623061,24.3572693,38.46038435,NA,NA,NA,NA,KR13F019,KR36M001,1,1,1,1,Kuruman
Kuruman 42,15/10/2018,15/10/2018,0,356,142,3,1,3,3,NA,1.516853933,NA,257.1921192,7.236408122,21.4326766,127.1988109,2.822682598,10.59990091,NA,NA,NA,NA,KR1F022,KR10M019,1,1,1,1,Kuruman
Kuruman 42,06/10/2019,15/10/2018,356,154,138,7,3,0,0,0,0,0,127.1988109,2.822682598,10.59990091,225.8200062,33.50954251,45.16400124,NA,NA,NA,NA,KR1F022,KR10M019,1,1,1,1,Kuruman
