AnimalID,Sex,DateofCapture,DateofRecapture,weight,weight2,GroupID,GroupSize,QueenID,GroupSizeRecapture,timediff,rateofbodymassgrowth
KR7F007,Female,06/08/2014,04/03/2015,124,125,Kuruman 7,6,NA,5,210,0.004761905
KR7F007,Female,04/03/2015,16/02/2016,125,138,Kuruman 7,5,NA,2,349,0.037249284
KR7F007,Female,16/02/2016,05/09/2016,138,135,Kuruman 7,2,NA,1,202,-0.014851485
KR7F007,Female,05/09/2016,07/02/2017,135,131,Kuruman 7,1,NA,1,155,-0.025806452
KR7F007,Female,07/02/2017,14/08/2017,131,132,Kuruman 7,1,NA,1,188,0.005319149
KR7F012,Female,06/12/2013,06/08/2014,49,76,Kuruman 7,17,KR7F010,6,243,0.111111111
KR7F012,Female,06/08/2014,04/03/2015,76,91,Kuruman 7,6,NA,5,210,0.071428571
KR7F012,Female,04/03/2015,17/02/2016,91,122,Kuruman 7,5,NA,2,350,0.088571429
KR7F015,Female,06/12/2013,08/08/2014,93,100,Kuruman 7,17,KR7F010,6,245,0.028571429
KR7F019,Female,14/11/2018,10/03/2019,31,54,Kuruman 7,4,KR7F007,6,116,0.198275862
KR7F019,Female,10/03/2019,01/10/2019,54,88,Kuruman 7,6,KR7F007,11,205,0.165853659
KR7F020,Female,10/03/2019,30/09/2019,59,95,Kuruman 7,6,KR7F007,11,204,0.176470588
KR7F020,Female,30/09/2019,20/05/2020,95,106,Kuruman 7,11,KR7F007,6,233,0.0472103
KR7F023,Female,01/10/2019,20/05/2020,38,75,Kuruman 7,11,KR7F007,6,232,0.159482759
KR8F002,Female,03/12/2013,05/08/2014,99,97,Kuruman 8,6,NA,2,245,-0.008163265
KR8F002,Female,05/08/2014,02/03/2015,97,112,Kuruman 8,2,NA,2,209,0.071770335
KR8F005,Female,05/12/2013,06/08/2014,123,123,Kuruman 8,6,NA,2,244,0
KR8F005,Female,06/08/2014,02/03/2015,123,141,Kuruman 8,2,NA,2,208,0.086538462
KR8F009,Female,06/02/2017,16/08/2017,57,105,Kuruman 8,12,KR8F002,11,191,0.251308901
KR8F012,Female,08/02/2017,14/08/2017,57,94,Kuruman 8,12,KR8F002,11,187,0.197860963
KR8F012,Female,14/08/2017,30/04/2018,94,130,Kuruman 8,11,KR8F002,16,259,0.138996139
